Model,WISmodel,Location,plausible_scenario,Baseline_model,WISbaseline,Label,Target,WISratio,Round
MOBS_NEU-GLEAM_COVID,31.241469293113514,Kentucky,Scenario A,COVIDhub-ensemble_4wks,9.119063545150501,Baseline,death,3.4259514848679458,14
MOBS_NEU-GLEAM_COVID,34.4006141741643,Louisiana,Scenario A,COVIDhub-baseline_4wks,15.86113098696874,Baseline,death,2.168862624136155,14
MOBS_NEU-GLEAM_COVID,34.4006141741643,Louisiana,Scenario A,COVIDhub-ensemble_4wks,7.415730211817169,Baseline,death,4.638870777600024,14
MOBS_NEU-GLEAM_COVID,8.407652128403006,Maine,Scenario A,COVIDhub-baseline_4wks,7.653305497611277,Baseline,death,1.098564813730116,14
MOBS_NEU-GLEAM_COVID,8.407652128403006,Maine,Scenario A,COVIDhub-ensemble_4wks,5.928695652173914,Baseline,death,1.4181284757499935,14
MOBS_NEU-GLEAM_COVID,30.366131547233483,Maryland,Scenario A,COVIDhub-baseline_4wks,15.304691671125742,Baseline,death,1.984106063666939,14
MOBS_NEU-GLEAM_COVID,30.366131547233483,Maryland,Scenario A,COVIDhub-ensemble_4wks,7.167736900780379,Baseline,death,4.236501976506338,14
MOBS_NEU-GLEAM_COVID,57.52001072026611,Massachusetts,Scenario A,COVIDhub-baseline_4wks,26.026403106869417,Baseline,death,2.2100637757771553,14
MOBS_NEU-GLEAM_COVID,57.52001072026611,Massachusetts,Scenario A,COVIDhub-ensemble_4wks,12.884403567447048,Baseline,death,4.464313029249772,14
MOBS_NEU-GLEAM_COVID,82.8400410931218,Michigan,Scenario A,COVIDhub-baseline_4wks,47.13739453747548,Baseline,death,1.7574166308080894,14
MOBS_NEU-GLEAM_COVID,82.8400410931218,Michigan,Scenario A,COVIDhub-ensemble_4wks,29.567915273132666,Baseline,death,2.801686907172507,14
MOBS_NEU-GLEAM_COVID,52.75104631776261,Minnesota,Scenario A,COVIDhub-baseline_4wks,12.747017553710656,Baseline,death,4.1383049874601285,14
MOBS_NEU-GLEAM_COVID,52.75104631776261,Minnesota,Scenario A,COVIDhub-ensemble_4wks,8.091538461538462,Baseline,death,6.5192851234044475,14
MOBS_NEU-GLEAM_COVID,48.82391043935644,Mississippi,Scenario A,COVIDhub-baseline_4wks,11.556759352095197,Baseline,death,4.224705988232319,14
MOBS_NEU-GLEAM_COVID,48.82391043935644,Mississippi,Scenario A,COVIDhub-ensemble_4wks,5.857134894091417,Baseline,death,8.335800920106724,14
MOBS_NEU-GLEAM_COVID,83.12486988569275,Missouri,Scenario A,COVIDhub-baseline_4wks,44.21590135007425,Baseline,death,1.8799768261549454,14
MOBS_NEU-GLEAM_COVID,83.12486988569275,Missouri,Scenario A,COVIDhub-ensemble_4wks,12.646410256410256,Baseline,death,6.573001207481635,14
MOBS_NEU-GLEAM_COVID,24.512880926544124,Montana,Scenario A,COVIDhub-baseline_4wks,5.7555999290104385,Baseline,death,4.258961920370763,14
MOBS_NEU-GLEAM_COVID,24.512880926544124,Montana,Scenario A,COVIDhub-ensemble_4wks,3.6367335562987737,Baseline,death,6.740356571926514,14
MOBS_NEU-GLEAM_COVID,25.24942127201365,Nebraska,Scenario A,COVIDhub-baseline_4wks,12.334182312328139,Baseline,death,2.047109458304066,14
MOBS_NEU-GLEAM_COVID,25.24942127201365,Nebraska,Scenario A,COVIDhub-ensemble_4wks,10.694347826086954,Baseline,death,2.361006176591918,14
